Exporters,Import Value 2021,Trade balance 2021,Share in USA's imports (%),Quantity imported in 2021,Quantity unit,Avg_distance,Concentration,Average_tariff,Ease of doing business ranking
Jordan,242668,-242655,88.6,11,Tons,10450,1,0,75
Spain,4601,-3299,1.7,2,Tons,3699,0.26,5.8,30
China,4248,-3970,1.6,18,Tons,7490,0.32,5.8,31
Italy,3220,-2250,1.2,1,Tons,2723,0.33,5.8,58
India,2673,21296,1,3,Tons,5603,0.29,1,63
Brazil,2463,-2375,0.9,19,Tons,6128,0.25,0,124
Türkiye,2130,-1321,0.8,1,Tons,6310,0.34,5.8,33
Dominican Republic,1711,-350,0.6,2,Tons,3021,0.86,0,115
Thailand,1129,-822,0.4,0,Tons,9550,0.4,0,21
"Korea, Republic of",986,-892,0.4,2,Tons,8468,0.42,0,5
United Kingdom,960,1342,0.4,0,Tons,4924,0.11,5.8,8
France,799,75,0.3,0,Tons,1847,0.09,5.8,32
Israel,767,670,0.3,1,Tons,5752,0.16,0,35
Switzerland,525,-342,0.2,0,Tons,2566,0.15,5.8,36
United Arab Emirates,497,1052,0.2,0,Tons,6621,0.19,5.8,16
"Hong Kong, China",487,5107,0.2,1,Tons,5446,0.41,5.8,3
Japan,485,575,0.2,5,Tons,5250,0.33,5.8,29
"Taipei, Chinese",450,123,0.2,1,Tons,3231,0.47,5.8,15
Canada,416,7280,0.2,0,Tons,9488,0.62,0,23
South Africa,395,-377,0.1,0,Tons,10521,0.34,0,84
Portugal,287,-287,0.1,0,Tons,2221,0.77,5.8,39
Australia,226,2245,0.1,0,Tons,4607,0.6,0,14
Mexico,215,6020,0.1,0,Tons,1624,1,0,60
Ireland,199,-112,0.1,0,Tons,4674,0.45,5.8,24
Germany,181,357,0.1,0,Tons,2821,0.11,5.8,22
Viet Nam,120,-92,0,0,Tons,13263,0.84,5.8,70
Indonesia,114,-79,0,1,Tons,9543,0.36,0,73
Colombia,93,694,0,0,Tons,4207,0.96,0,67
Belgium,85,-21,0,0,Tons,5886,0.21,5.8,46
Costa Rica,65,562,0,0,Tons,3428,1,0,74
Netherlands,64,104,0,0,Tons,870,0.23,5.8,42
Slovenia,53,-53,0,0,Tons,648,0.37,5.8,37
Greece,47,-39,0,0,Tons,2809,0.18,5.8,79
Lebanon,45,-45,0,0,Tons,3073,1,0,143
Singapore,40,252,0,0,Tons,4694,0.15,0,2
Czech Republic,39,-35,0,0,Tons,928,0.45,5.8,41
Panama,35,82,0,0,Tons,1474,0.73,0,86
Denmark,30,-21,0,0,Tons,1296,0.23,5.8,4
Poland,26,-21,0,0,Tons,1270,0.47,5.8,40
Kenya,20,-20,0,0,Tons,6400,1,0,56
Egypt,18,-18,0,0,Tons,2444,1,0,114
Philippines,16,-3,0,0,Tons,2990,0.94,0,95
Sri Lanka,15,-10,0,0,Tons,6584,1,0,99
Austria,14,64,0,0,Tons,2327,0.13,5.8,27
Malaysia,13,220,0,0,Tons,2662,0.3,5.8,12
Mauritius,13,-13,0,0,Tons,,,0,13
El Salvador,11,-8,0,0,Tons,287,0.56,0,91
New Zealand,10,45,0,0,Tons,11750,0.36,5.8,1
Estonia,9,-9,0,0,Tons,1923,0.64,5.8,18
Luxembourg,9,-9,0,0,Tons,5094,0.38,5.8,72
Ecuador,9,-9,0,0,Tons,1154,1,0,129
"Venezuela, Bolivarian Republic of",6,318,0,0,Tons,3996,1,5.8,188
Sweden,6,177,0,0,Tons,2050,0.17,5.8,10
Tunisia,5,-5,0,0,Tons,1270,1,0,78
Latvia,5,-5,0,0,Tons,270,1,5.8,19
Ethiopia,5,-5,0,0,Tons,,,0,159
Guatemala,3,802,0,0,Tons,2832,1,0,96
Trinidad and Tobago,2,1,0,0,Tons,,,0,105
