Importers,Value exported,Trade balance 2021,Share in USA's exports (%),Quantity exported in 2021,Quantity unit,Avg_distance,Concentration,Average_tariff,Ease of doing business ranking
India,23969,21296,35.9,23,Tons,6800,0.9,15,63
Canada,7696,7280,11.5,4,Tons,4861,0.3,0,23
Mexico,6235,6020,9.3,6,Tons,7615,0.41,0,60
"Hong Kong, China",5594,5107,8.4,5,Tons,7180,0.47,0,3
Australia,2471,2245,3.7,2,Tons,11952,0.18,0,14
United Kingdom,2302,1342,3.4,2,Tons,4313,0.15,4,8
United Arab Emirates,1549,1052,2.3,1,Tons,5235,0.35,5,16
Israel,1437,670,2.2,1,Tons,6882,0.38,0,35
Dominican Republic,1361,-350,2,1,Tons,3125,0.95,0,115
Spain,1302,-3299,1.9,1,Tons,2758,0.18,4,30
Saudi Arabia,1240,1240,1.9,1,Tons,6026,0.48,5,62
Japan,1060,575,1.6,1,Tons,8933,0.68,5.4,29
Italy,970,-2250,1.5,1,Tons,3350,0.19,4,58
France,874,75,1.3,1,Tons,3387,0.24,4,32
Türkiye,809,-1321,1.2,0,Tons,4566,0.27,4,33
Guatemala,805,802,1.2,1,Tons,3504,0.56,0,96
Colombia,787,694,1.2,1,Tons,9371,0.25,6,67
Curaçao,773,773,1.2,1,Tons,8555,0.97,,
Costa Rica,627,562,0.9,0,Tons,4846,0.71,0,74
"Taipei, Chinese",573,123,0.9,1,Tons,3679,0.35,0,15
Germany,538,357,0.8,0,Tons,4578,0.14,4,22
"Venezuela, Bolivarian Republic of",324,318,0.5,0,Tons,3968,0.63,18,188
Thailand,307,-822,0.5,0,Tons,3353,0.72,20,21
Singapore,292,252,0.4,0,Tons,10835,0.3,0,2
Qatar,279,279,0.4,0,Tons,5532,0.14,5,77
China,278,-3970,0.4,0,Tons,10005,0.37,10,31
Malaysia,233,220,0.3,0,Tons,2593,0.39,0,12
Sweden,183,177,0.3,0,Tons,3602,0.08,4,10
Switzerland,183,-342,0.3,0,Tons,1544,0.27,0.3,36
Netherlands,168,104,0.3,0,Tons,1499,0.24,4,42
Aruba,141,141,0.2,0,Tons,3649,,3,
Panama,117,82,0.2,0,Tons,9262,0.38,10,86
"Korea, Republic of",94,-892,0.1,0,Tons,4869,0.22,0,5
Brazil,88,-2375,0.1,0,Tons,11780,0.32,18,124
Ireland,87,-112,0.1,0,Tons,3802,0.23,4,24
Saint Kitts and Nevis,85,85,0.1,0,Tons,3669,1,25,139
Austria,78,64,0.1,0,Tons,2406,0.33,4,27
Chile,67,67,0.1,0,Tons,6596,0.37,0,59
Belgium,64,-21,0.1,0,Tons,5926,0.28,4,46
French Polynesia,63,63,0.1,0,Tons,15019,0.74,13,
New Zealand,55,45,0.1,0,Tons,11304,0.16,2.5,1
Nigeria,54,54,0.1,0,Tons,7704,0.25,20,131
Peru,49,49,0.1,0,Tons,9442,0.3,0,76
Mongolia,43,43,0.1,0,Tons,8147,0.63,5,81
Kuwait,42,42,0.1,0,Tons,3611,0.38,5,83
Jamaica,41,41,0.1,0,Tons,3204,0.84,30,71
Indonesia,35,-79,0.1,0,Tons,7999,0.27,15,73
Russian Federation,29,29,0,0,Tons,2620,0.83,10,28
Viet Nam,28,-92,0,0,Tons,6165,0.42,30,70
Mauritania,21,21,0,0,Tons,2544,,20,152
Lithuania,19,19,0,0,Tons,3558,0.14,4,11
South Africa,18,-377,0,0,Tons,9150,0.3,20,84
Norway,16,16,0,0,Tons,5707,0.21,0,9
Côte d'Ivoire,16,16,0,0,Tons,5493,0.38,20,110
Iceland,15,15,0,0,Tons,5240,0.13,0,26
Ghana,15,15,0,0,Tons,8851,0.71,20,118
Hungary,14,14,0,0,Tons,2857,0.14,4,52
Bahamas,14,14,0,0,Tons,3412,0.35,0,119
Iraq,13,13,0,0,Tons,3313,0.57,,172
Philippines,13,-3,0,0,Tons,1725,0.57,6.5,95
Jordan,13,-242655,0,0,Tons,6044,0.37,0,75
Azerbaijan,12,12,0,0,Tons,8719,0.45,15,34
Ukraine,10,10,0,0,Tons,3390,0.3,10,64
Barbados,10,10,0,0,Tons,7449,0.56,60,128
Denmark,9,-21,0,0,Tons,4860,0.28,4,4
Greece,8,-39,0,0,Tons,1885,0.18,4,79
"Macao, China",6,6,0,0,Tons,1452,0.41,0,
Gibraltar,6,6,0,0,Tons,1110,0.52,,
Bahrain,6,6,0,0,Tons,4351,0.22,0,43
Bermuda,6,6,0,0,Tons,2962,0.63,6.5,
Saint Lucia,6,6,0,0,Tons,3999,1,30,93
Finland,5,5,0,0,Tons,5780,0.26,4,20
Romania,5,5,0,0,Tons,3654,0.32,4,55
Sri Lanka,5,-10,0,0,Tons,7461,0.53,0,99
Poland,5,-21,0,0,Tons,3758,0.2,4,40
Argentina,4,4,0,0,Tons,17532,0.83,18,126
Albania,4,4,0,0,Tons,1630,0.64,15,82
Georgia,4,4,0,0,Tons,3248,1,12,7
"Macedonia, North",4,4,0,0,Tons,5875,0.51,15,
Kyrgyzstan,4,4,0,0,Tons,2564,0.36,10,80
Czech Republic,4,-35,0,0,Tons,590,0.45,4,41
Croatia,3,3,0,0,Tons,1159,0.39,4,51
Bulgaria,3,3,0,0,Tons,5176,0.33,4,61
"Congo, Democratic Republic of the",3,3,0,0,Tons,7542,0.63,13.3,183
Uganda,3,3,0,0,Tons,9547,0.39,25,116
Cook Islands,3,3,0,0,Tons,9352,1,0,
Anguilla,3,3,0,0,Tons,3473,1,0,
Trinidad and Tobago,3,1,0,0,Tons,4303,1,30,105
El Salvador,3,-8,0,0,Tons,5375,0.36,0,91
