Importers,Exported value in 2017,Exported value in 2018,Exported value in 2019,Exported value in 2020,Exported value in 2021
India,24497,19753,2945,5680,23969
Canada,2682,2471,3070,3427,7696
Mexico,2517,5076,3364,3047,6235
"Hong Kong, China",8270,11570,3344,5072,5594
Australia,2586,525,660,578,2471
United Kingdom,1908,3430,901,1388,2302
United Arab Emirates,684,234,1494,459,1549
Israel,539,1059,549,655,1437
Dominican Republic,18557,561,745,4496,1361
Spain,123,561,207,26,1302
Saudi Arabia,25,0,182,294,1240
Japan,1795,1227,1053,3175,1060
Italy,348,710,325,225,970
France,169,537,524,463,874
Türkiye,61,6,92,5,809
Guatemala,686,467,470,39,805
Colombia,168,119,114,228,787
Curaçao,1897,2150,2637,1225,773
Costa Rica,3,13,59,396,627
"Taipei, Chinese",382,46,46,73,573
Germany,1089,667,127,176,538
"Venezuela, Bolivarian Republic of",896,1394,854,235,324
Thailand,4671,2641,963,307,307
Singapore,381,259,167,183,292
Qatar,10,35,170,320,279
China,10,92,21,323,278
Malaysia,3,146,46,43,233
Sweden,12,43,8,14,183
Switzerland,107,125,332,45,183
Netherlands,62,45,201,162,168
Aruba,650,638,503,80,141
Panama,207,140,246,105,117
"Korea, Republic of",78,753,61,43,94
Brazil,15,23,50,107,88
Ireland,78,92,63,28,87
Saint Kitts and Nevis,283,254,185,113,85
Austria,174,16,58,59,78
Chile,201,24,45,0,67
Belgium,73,63,9,29,64
French Polynesia,0,24,0,38,63
New Zealand,30,141,63,69,55
Nigeria,0,0,0,3,54
Peru,11,34,8,4,49
Mongolia,0,0,30,17,43
Kuwait,0,28,31,118,42
Jamaica,524,336,14,15,41
Indonesia,363,517,356,100,35
Russian Federation,45,3,126,42,29
Viet Nam,42,43,16,9,28
Mauritania,0,0,0,0,21
Lithuania,0,0,0,6,19
South Africa,975,863,977,71,18
Côte d'Ivoire,0,0,0,3,16
Norway,0,10,5,7,16
Ghana,0,0,7,14,15
Iceland,0,13,20,7,15
Bahamas,118,156,9,45,14
Hungary,0,0,11,13,14
Iraq,0,0,0,0,13
Jordan,0,0,0,6,13
Philippines,15,0,20,0,13
Azerbaijan,0,0,0,9,12
Ukraine,0,0,0,0,10
Barbados,361,220,73,0,10
Denmark,35,57,25,44,9
Greece,52,61,3,4,8
Gibraltar,183,9,71,8,6
Bahrain,0,20,28,13,6
Bermuda,19,77,14,62,6
"Macao, China",334,3,5,30,6
Saint Lucia,0,8,0,0,6
Sri Lanka,33,23,23,9,5
Finland,0,3,47,9,5
Poland,0,7,4,44,5
Romania,0,8,3,14,5
Albania,0,0,0,0,4
Argentina,0,0,0,0,4
Czech Republic,0,0,0,0,4
Georgia,0,0,0,0,4
Kyrgyzstan,0,0,0,0,4
"Macedonia, North",0,0,0,0,4
"Congo, Democratic Republic of the",0,0,4,3,3
Anguilla,0,0,0,0,3
Bulgaria,3,0,3,7,3
Cook Islands,0,0,0,0,3
Croatia,0,0,0,0,3
El Salvador,23,59,0,5,3
Trinidad and Tobago,21,0,0,0,3
Uganda,0,0,0,3,3
