Code,Product label,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
'7113202900,NECKLACES AND NECK CHAINS NESOI OF BASE METAL CLAD WITH GOLD,2080,11723,3705,21376,245776
'7113205000,JEWELRY NESOI OF BASE METAL CLAD WITH PRECIOUS METAL,17423,19712,20034,13150,23077
'7113202500,MIXED LINK NECKLACES AND NECK CHAINS OF BASE METAL CLAD WITH GOLD,5615,3873,2116,979,1722
'7113201000,CHAINS AND SIMLR ARTLS OF BASE MTL CLAD W PREC MTL PRODCD IN CNTS LNGTHS INCL CUT TO LNGTH ...,530,699,783,837,1479
'7113203000,CLASPS AND PARTS THEREOF OF BASE METAL CLAD WITH PRECIOUS METAL,680,766,424,746,1262
'7113202100,ROPE NECKLACES AND NECK CHAINS OF BASE METAL CLAD WITH GOLD,410,335,329,973,444
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
