Importers,Value imported in 2021 (USD thousand)
United States of America,273760
United Kingdom,39104
France,29448
"Taipei, Chinese",20910
"Hong Kong, China",18581
Qatar,15134
Canada,12324
Netherlands,12175
Philippines,12088
Singapore,11897
Malaysia,11359
"Macao, China",11225
Italy,9640
Mexico,9534
Germany,8804
Cayman Islands,7680
Portugal,7445
United Arab Emirates,4832
Switzerland,4669
Saudi Arabia,4190
Belgium,3964
Australia,3922
Ireland,3665
Thailand,3571
"Korea, Republic of",3390
Czech Republic,3103
China,2988
Poland,2974
Norway,2965
Spain,2855
Cyprus,2796
Japan,2523
Austria,2501
Slovakia,2499
Sweden,2147
Kuwait,1958
Iceland,1926
Israel,1165
Colombia,1046
